time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548571663089000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44691306660,426x240-26,26917,0.95294,10,0,11461,12472,232947,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548571663129000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44691486840,1920x1080-22,584958,0.986693,38,0,11392,14320,1815168,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548571663591000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44668063440,426x240-26,7484,0.950656,10,0,63992,69294,45630,video_sent_2019-01-26T11_2019-01-27T11,28,284,pbs,startup,12.595,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571663726000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44668243620,1920x1080-22,481179,0.988473,31,0,61734,75689,344096,video_sent_2019-01-26T11_2019-01-27T11,28,284,pbs,startup,12.595,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571664969000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44691667020,1920x1080-22,914294,0.982769,180,0,7154,18503,105724,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,timer,14.833,0.885,video_sent_2019-01-26T11_2019-01-27T11
1548571665234000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44668423800,1920x1080-22,766437,0.987168,261,0,56640,77043,2502925,video_sent_2019-01-26T11_2019-01-27T11,27,284,pbs,timer,14.947,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571666817000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44691847200,1920x1080-22,1130116,0.982809,212,0,7154,33624,630044,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,timer,14.987,0.885,video_sent_2019-01-26T11_2019-01-27T11
1548571668496000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44668603980,1920x1080-22,697734,0.987309,261,0,56640,69079,3473660,video_sent_2019-01-26T11_2019-01-27T11,27,284,pbs,timer,14.95,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571668936000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44692027380,1920x1080-22,587985,0.982148,152,0,7154,24689,8406553,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,timer,14.87,0.885,video_sent_2019-01-26T11_2019-01-27T11
1548571670497000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44668784160,1920x1080-22,568482,0.988863,261,0,56640,67762,3063901,video_sent_2019-01-26T11_2019-01-27T11,27,284,pbs,timer,14.947,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571670961000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44692207560,1920x1080-22,1010221,0.982119,154,0,7154,30322,771690,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,timer,14.849,0.885,video_sent_2019-01-26T11_2019-01-27T11
1548571672507000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44668964340,1920x1080-22,401946,0.989152,261,0,56640,72565,3985994,video_sent_2019-01-26T11_2019-01-27T11,27,284,pbs,timer,14.943,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571672984000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44692387740,1920x1080-22,949598,0.982113,110,0,7154,20115,7184915,video_sent_2019-01-26T11_2019-01-27T11,3,284,cbs,timer,14.825,0.885,video_sent_2019-01-26T11_2019-01-27T11
1548571674510000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44669144520,1920x1080-22,620163,0.988074,261,0,56640,70444,3134824,video_sent_2019-01-26T11_2019-01-27T11,27,284,pbs,timer,14.941,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571674910000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44692567920,1920x1080-22,494329,0.976411,112,0,7154,18125,8193594,video_sent_2019-01-26T11_2019-01-27T11,4,284,cbs,timer,14.9,0.885,video_sent_2019-01-26T11_2019-01-27T11
1548571676527000000,3iFXJNdv/Fp0N9GJ2awpR9q1/OgZKgeXtkBOLbTcdW8=,27,284,pbs,44669324700,1920x1080-22,1412117,0.981246,261,0,56640,71418,2632211,video_sent_2019-01-26T11_2019-01-27T11,27,284,pbs,timer,14.929,0.006,video_sent_2019-01-26T11_2019-01-27T11
1548571676930000000,w9BKW38ANJAFeVv74vMbTWRZ5j1g1234C93bicnltkE=,3,284,cbs,44692748100,1920x1080-22,877825,0.980071,114,0,7154,21078,5030451,video_sent_2019-01-26T11_2019-01-27T11,4,284,cbs,timer,14.883,0.885,video_sent_2019-01-26T11_2019-01-27T11
