time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548553248816000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43015632660,426x240-26,38622,0.82807,14,0,184003,184059,15735,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43015632660,426x240-26,38622,0.82807,14,0,184003,184059,15735,video_sent_2019-01-26T11_2019-01-27T11
1548553249917000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43015812840,426x240-26,34223,0.834472,43,0,183984,188160,106685,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43015812840,426x240-26,34223,0.834472,43,0,183984,188160,106685,video_sent_2019-01-26T11_2019-01-27T11
1548553250641000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43015993020,426x240-26,36372,0.834199,52,0,183950,184459,125737,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43015993020,426x240-26,36372,0.834199,52,0,183950,184459,125737,video_sent_2019-01-26T11_2019-01-27T11
1548553251473000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43016173200,426x240-26,94117,0.833531,72,0,183940,184154,23567,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43016173200,426x240-26,94117,0.833531,72,0,183940,184154,23567,video_sent_2019-01-26T11_2019-01-27T11
1548553252494000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43016353380,426x240-26,131838,0.81571,136,0,183939,184295,374396,8,273,cbs,timer,1.552,3.403,video_sent_2019-01-26T11_2019-01-27T11,8,273,cbs,timer,1.552,3.403,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43016353380,426x240-26,131838,0.81571,136,0,183939,184295,374396,video_sent_2019-01-26T11_2019-01-27T11
1548553253637000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43016533560,854x480-26,184896,0.903412,180,0,183908,184155,686204,7,273,cbs,timer,2.556,3.403,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,timer,2.556,3.403,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43016533560,854x480-26,184896,0.903412,180,0,183908,184155,686204,video_sent_2019-01-26T11_2019-01-27T11
1548553259365000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43016713740,426x240-26,103755,0.811608,46,0,183908,184120,102406,7,273,cbs,timer,0,4.395,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,timer,0,4.395,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43016713740,426x240-26,103755,0.811608,46,0,183908,184120,102406,video_sent_2019-01-26T11_2019-01-27T11
1548553263239000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43016893920,426x240-26,62873,0.815287,1,1,183908,185280,120875,7,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43016893920,426x240-26,62873,0.815287,1,1,183908,185280,120875,video_sent_2019-01-26T11_2019-01-27T11
1548553265694000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43017074100,426x240-26,62755,0.816844,54,0,183908,189143,110285,8,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,8,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43017074100,426x240-26,62755,0.816844,54,0,183908,189143,110285,video_sent_2019-01-26T11_2019-01-27T11
1548553267565000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43017254280,426x240-26,60643,0.821005,62,0,183908,184131,217415,7,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43017254280,426x240-26,60643,0.821005,62,0,183908,184131,217415,video_sent_2019-01-26T11_2019-01-27T11
1548553269834000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43017434460,426x240-26,66294,0.818327,66,0,183908,191202,232444,7,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43017434460,426x240-26,66294,0.818327,66,0,183908,191202,232444,video_sent_2019-01-26T11_2019-01-27T11
1548553272085000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43017614640,426x240-26,66697,0.814163,70,0,183908,189559,238708,7,273,cbs,timer,0.908,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,timer,0.908,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43017614640,426x240-26,66697,0.814163,70,0,183908,189559,238708,video_sent_2019-01-26T11_2019-01-27T11
1548553274287000000,7VOqbt13IfuPQPJ0E1U6F/6uDJfPDZMXaekO8BfZaeQ=,43017794820,426x240-26,58139,0.81598,70,0,183908,186375,85779,8,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,8,273,cbs,timer,0,8.406,video_sent_2019-01-26T11_2019-01-27T11,7,273,cbs,43017794820,426x240-26,58139,0.81598,70,0,183908,186375,85779,video_sent_2019-01-26T11_2019-01-27T11
