time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548531610201000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41085364320,426x240-26,43169,0.951366,14,0,381,4991,7387755,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41085364320,426x240-26,43169,0.951366,14,0,381,4991,7387755,video_sent_2019-01-26T11_2019-01-27T11
1548531610233000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41085544500,1920x1080-22,907125,0.98656,61,0,377,2047,66281690,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41085544500,1920x1080-22,907125,0.98656,61,0,377,2047,66281690,video_sent_2019-01-26T11_2019-01-27T11
1548531610249000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41085724680,1920x1080-22,606237,0.98787,136,0,377,861,40432809,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41085724680,1920x1080-22,606237,0.98787,136,0,377,861,40432809,video_sent_2019-01-26T11_2019-01-27T11
1548531610261000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41085904860,1920x1080-22,675797,0.989524,136,0,377,1385,92030320,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41085904860,1920x1080-22,675797,0.989524,136,0,377,1385,92030320,video_sent_2019-01-26T11_2019-01-27T11
1548531610270000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086085040,1920x1080-22,599470,0.989704,136,0,377,1445,80535754,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41086085040,1920x1080-22,599470,0.989704,136,0,377,1445,80535754,video_sent_2019-01-26T11_2019-01-27T11
1548531610280000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086265220,1920x1080-22,608191,0.988815,136,0,377,1335,110887045,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41086265220,1920x1080-22,608191,0.988815,136,0,377,1335,110887045,video_sent_2019-01-26T11_2019-01-27T11
1548531610289000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086445400,1920x1080-22,535997,0.989241,136,0,377,1373,113736486,0,248,cbs,startup,10.01,0.102,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,startup,10.01,0.102,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41086445400,1920x1080-22,535997,0.989241,136,0,377,1373,113736486,video_sent_2019-01-26T11_2019-01-27T11
1548531610297000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086625580,1920x1080-22,462414,0.988716,136,0,377,1416,106275229,0,248,cbs,startup,10.01,0.102,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,startup,10.01,0.102,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41086625580,1920x1080-22,462414,0.988716,136,0,377,1416,106275229,video_sent_2019-01-26T11_2019-01-27T11
1548531611631000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086805760,1920x1080-22,825109,0.984524,136,0,377,1340,120021390,0,248,cbs,timer,14.763,0.102,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,timer,14.763,0.102,video_sent_2019-01-26T11_2019-01-27T11,0,248,cbs,41086805760,1920x1080-22,825109,0.984524,136,0,377,1340,120021390,video_sent_2019-01-26T11_2019-01-27T11
1548531613220000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086085040,1920x1080-22,1630916,0.97508,136,0,377,1458,96071727,1,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41086085040,1920x1080-22,1630916,0.97508,136,0,377,1458,96071727,video_sent_2019-01-26T11_2019-01-27T11
1548531613247000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086265220,1920x1080-22,1596684,0.977423,136,0,377,1339,1849297,1,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41086265220,1920x1080-22,1596684,0.977423,136,0,377,1339,1849297,video_sent_2019-01-26T11_2019-01-27T11
1548531613270000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086445400,1920x1080-22,1681943,0.9785,136,0,377,1531,107326633,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41086445400,1920x1080-22,1681943,0.9785,136,0,377,1531,107326633,video_sent_2019-01-26T11_2019-01-27T11
1548531613296000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086625580,1920x1080-22,1783779,0.976395,136,0,377,1452,103675417,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41086625580,1920x1080-22,1783779,0.976395,136,0,377,1452,103675417,video_sent_2019-01-26T11_2019-01-27T11
1548531613326000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086805760,1920x1080-22,1794883,0.975216,136,0,377,1462,109299005,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41086805760,1920x1080-22,1794883,0.975216,136,0,377,1462,109299005,video_sent_2019-01-26T11_2019-01-27T11
1548531613351000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41086985940,1920x1080-22,1652244,0.976353,136,0,377,1455,90186851,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41086985940,1920x1080-22,1652244,0.976353,136,0,377,1455,90186851,video_sent_2019-01-26T11_2019-01-27T11
1548531613373000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41087166120,1920x1080-22,1336041,0.975697,136,0,377,1389,107508120,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,startup,2.002,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41087166120,1920x1080-22,1336041,0.975697,136,0,377,1389,107508120,video_sent_2019-01-26T11_2019-01-27T11
1548531613391000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41087346300,1920x1080-22,1213710,0.973959,136,0,377,1509,98399002,1,248,nbc,timer,11.971,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,11.971,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41087346300,1920x1080-22,1213710,0.973959,136,0,377,1509,98399002,video_sent_2019-01-26T11_2019-01-27T11
1548531614382000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41087526480,1920x1080-22,1523977,0.974325,136,0,377,1466,93229698,1,248,nbc,timer,14.972,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,14.972,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41087526480,1920x1080-22,1523977,0.974325,136,0,377,1466,93229698,video_sent_2019-01-26T11_2019-01-27T11
1548531616385000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41087706660,1920x1080-22,1360684,0.974087,136,0,377,1470,112376590,1,248,nbc,timer,14.952,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,14.952,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41087706660,1920x1080-22,1360684,0.974087,136,0,377,1470,112376590,video_sent_2019-01-26T11_2019-01-27T11
1548531618393000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41087886840,1920x1080-22,1176359,0.973778,136,0,377,2196,21201424,1,248,nbc,timer,14.976,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,14.976,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41087886840,1920x1080-22,1176359,0.973778,136,0,377,2196,21201424,video_sent_2019-01-26T11_2019-01-27T11
1548531620388000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41088067020,1920x1080-22,1264990,0.975035,136,0,377,1129,110210772,1,248,nbc,timer,14.956,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,14.956,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41088067020,1920x1080-22,1264990,0.975035,136,0,377,1129,110210772,video_sent_2019-01-26T11_2019-01-27T11
1548531622390000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41088247200,1920x1080-22,1543553,0.976757,136,0,377,392,42311688,1,248,nbc,timer,14.974,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,14.974,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41088247200,1920x1080-22,1543553,0.976757,136,0,377,392,42311688,video_sent_2019-01-26T11_2019-01-27T11
1548531624391000000,GY3ifseuEnJXqS7KDFPUwVUODddVELkcjbEmsPzJgyw=,41088427380,1920x1080-22,1672253,0.978125,136,0,377,1177,97885505,1,248,nbc,timer,14.963,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,timer,14.963,0.038,video_sent_2019-01-26T11_2019-01-27T11,1,248,nbc,41088427380,1920x1080-22,1672253,0.978125,136,0,377,1177,97885505,video_sent_2019-01-26T11_2019-01-27T11
1548531642698000000,iZvW9sWl7aHlGjPcL/8041TVOIrv7HSe3Qx+iwJSaag=,41088787740,426x240-26,69341,0.912265,14,0,295,5104,8297994,0,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,41088787740,426x240-26,69341,0.912265,14,0,295,5104,8297994,video_sent_2019-01-26T11_2019-01-27T11
1548531642707000000,iZvW9sWl7aHlGjPcL/8041TVOIrv7HSe3Qx+iwJSaag=,41088967920,1920x1080-22,1614337,0.97567,79,15,295,1721,73340259,0,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,41088967920,1920x1080-22,1614337,0.97567,79,15,295,1721,73340259,video_sent_2019-01-26T11_2019-01-27T11
1548531642731000000,iZvW9sWl7aHlGjPcL/8041TVOIrv7HSe3Qx+iwJSaag=,41089148100,1920x1080-22,1712505,0.975758,190,0,295,1133,54393782,0,248,nbc,startup,2.002,0.049,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,startup,2.002,0.049,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,41089148100,1920x1080-22,1712505,0.975758,190,0,295,1133,54393782,video_sent_2019-01-26T11_2019-01-27T11
1548531642757000000,iZvW9sWl7aHlGjPcL/8041TVOIrv7HSe3Qx+iwJSaag=,41089328280,1920x1080-22,1794857,0.975159,188,0,295,1491,107983558,0,248,nbc,startup,2.002,0.049,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,startup,2.002,0.049,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,41089328280,1920x1080-22,1794857,0.975159,188,0,295,1491,107983558,video_sent_2019-01-26T11_2019-01-27T11
1548531642782000000,iZvW9sWl7aHlGjPcL/8041TVOIrv7HSe3Qx+iwJSaag=,41089508460,1920x1080-24,1145211,0.977969,136,0,295,802,69348659,0,248,nbc,startup,2.002,0.049,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,startup,2.002,0.049,video_sent_2019-01-26T11_2019-01-27T11,0,248,nbc,41089508460,1920x1080-24,1145211,0.977969,136,0,295,802,69348659,video_sent_2019-01-26T11_2019-01-27T11
