time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548552793101000000,jRL16/WVYNH6YCKVlsEf3nVP/HYGFSMIUoD0zJueWbA=,4,260,cbs,42993290340,426x240-26,81504,0.855433,14,0,340,5182,7934246,video_sent_2019-01-26T11_2019-01-27T11,4,260,cbs,startup,15.442,0.003,video_sent_2019-01-26T11_2019-01-27T11
1548552793213000000,7DkVMsFihu7LNTE7huMlRq1aX7j0XqEdQyR+O/HibhM=,16,260,cbs,42993470520,426x240-26,82390,0.857321,14,0,19964,20783,119388,video_sent_2019-01-26T11_2019-01-27T11,16,260,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552793336000000,PKpqxk8zGxu6C73DSy7te2Jkz2sSxWx2FHOeiRmTk9Y=,25,260,pbs,42993290340,426x240-26,19197,0.954499,14,0,39258,39862,73768,video_sent_2019-01-26T11_2019-01-27T11,25,260,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552793757000000,/IOGDVbPtqoiWl+VUULGFjpkwYJUSFupZDgSW9lK8NI=,6,260,abc,42996713760,426x240-26,46118,0.937458,14,0,69212,70826,40766,video_sent_2019-01-26T11_2019-01-27T11,7,260,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794007000000,0FWBnkR6ClBRXGEZYDpHQ54JMC9j7UDiwm3Fl3HIPZw=,9,260,cbs,42993110160,426x240-26,37318,0.804972,14,0,21331,22221,125734,video_sent_2019-01-26T11_2019-01-27T11,9,260,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794389000000,TONN+oTjK4iMneVe/2gzS8U/+5DxhLXUNsj7e9bt/hQ=,5,260,cbs,42993290340,426x240-26,81504,0.855433,14,0,298,4892,8044444,video_sent_2019-01-26T11_2019-01-27T11,5,260,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794553000000,/IOGDVbPtqoiWl+VUULGFjpkwYJUSFupZDgSW9lK8NI=,6,260,abc,42996893940,1280x720-24,288927,0.978813,38,0,63637,73681,205520,video_sent_2019-01-26T11_2019-01-27T11,6,260,abc,timer,14.792,0.018,video_sent_2019-01-26T11_2019-01-27T11
1548552794609000000,eRi05VvlyNAMLjY3RF8n96KtW24E9jxPciEM1hsKxXo=,5,260,abc,42996893940,426x240-26,39781,0.938391,14,0,40306,44953,51460,video_sent_2019-01-26T11_2019-01-27T11,7,260,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794645000000,EjY4H6LxcadQ11JCCzH5RDa8BJd3rsy5xTRHiMllGo8=,5,260,abc,42995993040,426x240-26,53816,0.90149,14,0,90327,100554,29842,video_sent_2019-01-26T11_2019-01-27T11,5,260,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548552794710000000,PKpqxk8zGxu6C73DSy7te2Jkz2sSxWx2FHOeiRmTk9Y=,25,260,pbs,42993470520,1920x1080-22,536895,0.989572,29,0,39184,42345,514230,video_sent_2019-01-26T11_2019-01-27T11,25,260,pbs,timer,14.793,0.045,video_sent_2019-01-26T11_2019-01-27T11
