time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548571812255000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44703739080,426x240-26,34415,0.935679,14,0,60755,64624,47820,0,291,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44703739080,426x240-26,34415,0.935679,14,0,60755,64624,47820,video_sent_2019-01-26T11_2019-01-27T11
1548571812453000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44703919260,426x240-26,43898,0.963941,60,9,60755,62008,604141,0,291,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44703919260,426x240-26,43898,0.963941,60,9,60755,62008,604141,video_sent_2019-01-26T11_2019-01-27T11
1548571812564000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44704099440,640x360-24,82540,0.957664,88,0,60088,62272,703428,0,291,cbs,timer,2.002,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,2.002,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44704099440,640x360-24,82540,0.957664,88,0,60088,62272,703428,video_sent_2019-01-26T11_2019-01-27T11
1548571812701000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44704279620,1920x1080-22,817764,0.982875,106,0,59805,62034,976464,0,291,cbs,timer,2.002,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,2.002,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44704279620,1920x1080-22,817764,0.982875,106,0,59805,62034,976464,video_sent_2019-01-26T11_2019-01-27T11
1548571813052000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44704459800,1920x1080-24,336741,0.980487,589,0,59805,62513,6529416,0,291,cbs,timer,5.97,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,5.97,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44704459800,1920x1080-24,336741,0.980487,589,0,59805,62513,6529416,video_sent_2019-01-26T11_2019-01-27T11
1548571813186000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44704639980,1920x1080-24,335656,0.979955,822,0,59805,63852,6529416,0,291,cbs,timer,5.97,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,5.97,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44704639980,1920x1080-24,335656,0.979955,822,0,59805,63852,6529416,video_sent_2019-01-26T11_2019-01-27T11
1548571813320000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44704820160,1920x1080-22,387398,0.980806,834,28,59805,64599,4939866,0,291,cbs,timer,9.724,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,9.724,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44704820160,1920x1080-22,387398,0.980806,834,28,59805,64599,4939866,video_sent_2019-01-26T11_2019-01-27T11
1548571813451000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44705000340,1920x1080-22,714940,0.982689,834,0,59805,64190,5841662,0,291,cbs,timer,9.724,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,9.724,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44705000340,1920x1080-22,714940,0.982689,834,0,59805,64190,5841662,video_sent_2019-01-26T11_2019-01-27T11
1548571814008000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44705180520,1920x1080-22,899515,0.983959,891,0,59805,63126,12117404,0,291,cbs,timer,14.98,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.98,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44705180520,1920x1080-22,899515,0.983959,891,0,59805,63126,12117404,video_sent_2019-01-26T11_2019-01-27T11
1548571816008000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44705360700,1920x1080-22,524627,0.983381,1183,0,59805,68457,2372754,0,291,cbs,timer,14.981,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.981,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44705360700,1920x1080-22,524627,0.983381,1183,0,59805,68457,2372754,video_sent_2019-01-26T11_2019-01-27T11
1548571818008000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44705540880,1920x1080-22,598248,0.984454,1485,0,59805,68080,550400,0,291,cbs,timer,14.984,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.984,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44705540880,1920x1080-22,598248,0.984454,1485,0,59805,68080,550400,video_sent_2019-01-26T11_2019-01-27T11
1548571820009000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44705721060,1920x1080-22,792181,0.985709,1517,0,59805,68967,1430498,0,291,cbs,timer,14.986,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.986,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44705721060,1920x1080-22,792181,0.985709,1517,0,59805,68967,1430498,video_sent_2019-01-26T11_2019-01-27T11
1548571822008000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44705901240,1920x1080-22,573683,0.988743,1018,0,59805,72157,1485669,0,291,cbs,timer,14.988,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.988,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44705901240,1920x1080-22,573683,0.988743,1018,0,59805,72157,1485669,video_sent_2019-01-26T11_2019-01-27T11
1548571824007000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706081420,1920x1080-22,643758,0.986955,1058,0,59805,63484,5263668,0,291,cbs,timer,14.99,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.99,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44706081420,1920x1080-22,643758,0.986955,1058,0,59805,63484,5263668,video_sent_2019-01-26T11_2019-01-27T11
1548571826008000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706261600,1920x1080-22,401199,0.984373,1052,0,59805,62840,5645514,0,291,cbs,timer,14.992,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.992,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44706261600,1920x1080-22,401199,0.984373,1052,0,59805,62840,5645514,video_sent_2019-01-26T11_2019-01-27T11
1548571828008000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706441780,1920x1080-22,436056,0.983338,1048,0,59805,62725,5645514,0,291,cbs,timer,14.993,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.993,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44706441780,1920x1080-22,436056,0.983338,1048,0,59805,62725,5645514,video_sent_2019-01-26T11_2019-01-27T11
1548571830009000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706621960,1920x1080-22,1669054,0.982313,1048,0,59805,62528,5645514,0,291,cbs,timer,14.996,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.996,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44706621960,1920x1080-22,1669054,0.982313,1048,0,59805,62528,5645514,video_sent_2019-01-26T11_2019-01-27T11
1548571832009000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706802140,1920x1080-22,1434427,0.981302,1108,0,59805,76486,12429285,0,291,cbs,timer,14.998,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.998,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44706802140,1920x1080-22,1434427,0.981302,1108,0,59805,76486,12429285,video_sent_2019-01-26T11_2019-01-27T11
1548571834009000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706982320,1920x1080-22,2160730,0.980927,1280,0,59805,63103,14891637,0,291,cbs,timer,15,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,15,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44706982320,1920x1080-22,2160730,0.980927,1280,0,59805,63103,14891637,video_sent_2019-01-26T11_2019-01-27T11
1548571836009000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44707162500,1920x1080-22,1201696,0.986151,1554,0,59805,62798,17002124,0,291,cbs,timer,15,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,15,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44707162500,1920x1080-22,1201696,0.986151,1554,0,59805,62798,17002124,video_sent_2019-01-26T11_2019-01-27T11
1548571838259000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44707342680,1920x1080-22,826684,0.990236,1554,0,59805,62981,16945379,0,291,cbs,timer,14.754,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,timer,14.754,0.227,video_sent_2019-01-26T11_2019-01-27T11,0,291,cbs,44707342680,1920x1080-22,826684,0.990236,1554,0,59805,62981,16945379,video_sent_2019-01-26T11_2019-01-27T11
1548571839663000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706441780,1920x1080-22,877155,0.981637,1555,0,59805,63007,16945379,1,291,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,44706441780,1920x1080-22,877155,0.981637,1555,0,59805,63007,16945379,video_sent_2019-01-26T11_2019-01-27T11
1548571839798000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706621960,1920x1080-22,864694,0.981443,1564,0,59805,63628,13197984,1,291,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,44706621960,1920x1080-22,864694,0.981443,1564,0,59805,63628,13197984,video_sent_2019-01-26T11_2019-01-27T11
1548571839931000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706802140,1920x1080-22,882902,0.983428,1564,0,59805,63532,13197984,1,291,nbc,startup,2.002,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,startup,2.002,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,44706802140,1920x1080-22,882902,0.983428,1564,0,59805,63532,13197984,video_sent_2019-01-26T11_2019-01-27T11
1548571840076000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44706982320,1920x1080-22,841802,0.98433,1564,1,59805,63339,13197984,1,291,nbc,timer,3.878,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,timer,3.878,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,44706982320,1920x1080-22,841802,0.98433,1564,1,59805,63339,13197984,video_sent_2019-01-26T11_2019-01-27T11
1548571840249000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44707162500,1920x1080-22,804232,0.988177,4,0,59805,66301,13197984,1,291,nbc,timer,3.878,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,timer,3.878,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,44707162500,1920x1080-22,804232,0.988177,4,0,59805,66301,13197984,video_sent_2019-01-26T11_2019-01-27T11
1548571840549000000,uO9Nw5QvKAbx81KgwtdynMLlsg2QNs5KqYJ2b9fqmog=,44707342680,1920x1080-22,848280,0.985943,1580,0,59805,64101,13197984,1,291,nbc,timer,7.382,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,timer,7.382,0.147,video_sent_2019-01-26T11_2019-01-27T11,1,291,nbc,44707342680,1920x1080-22,848280,0.985943,1580,0,59805,64101,13197984,video_sent_2019-01-26T11_2019-01-27T11
