time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548571683190000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44691847200,426x240-26,27152,0.963166,10,0,44297,49766,59039,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548571683323000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44692027380,640x360-24,35862,0.97818,29,0,43850,48526,427984,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548571683388000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44692207560,1920x1080-24,435788,0.987611,53,0,43850,50648,683145,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548571683698000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44692387740,1920x1080-22,873117,0.986321,94,0,41652,56930,2691380,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,1.065,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571684058000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44692567920,1920x1080-24,1670746,0.973298,125,0,41652,50221,3295154,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,2.939,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571684559000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44692748100,1920x1080-22,1417168,0.978333,121,0,41652,63365,4106948,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,4.438,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571685030000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44692928280,1920x1080-22,865518,0.988906,134,0,41652,49738,3411059,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,5.943,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571685340000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44693108460,1920x1080-22,2222036,0.963519,140,3,41652,51119,3775795,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,7.693,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571685992000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44693288640,1920x1080-22,4185044,0.970696,152,0,41652,57734,3674460,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,8.947,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571687109000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44693468820,1920x1080-22,1744818,0.977504,165,0,41652,52449,4085339,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,9.943,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571687585000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44693649000,1920x1080-22,3919199,0.970458,169,0,41652,52121,4187119,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,11.45,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571688546000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44693829180,1920x1080-22,915606,0.984371,172,0,41652,54801,4628528,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,12.452,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571689865000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44694009360,1920x1080-22,1564236,0.976093,173,0,41652,52006,4633928,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,14.956,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571691862000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44694189540,1920x1080-22,1149620,0.98476,173,0,41652,54971,4515242,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,14.958,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571693865000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44694369720,1920x1080-22,2341345,0.975133,173,0,41652,57779,4286346,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,14.96,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571695864000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44694549900,1920x1080-22,2066918,0.97855,173,0,41652,56154,4485722,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,14.962,1.903,video_sent_2019-01-26T11_2019-01-27T11
1548571697862000000,/a6U5l+mUfoe7UH3MLiXnj6GJoS5elFF1fs7vWPqkIw=,5,290,nbc,44694730080,1920x1080-22,1071024,0.98529,173,0,41652,58915,4046075,video_sent_2019-01-26T11_2019-01-27T11,5,290,nbc,timer,14.965,1.903,video_sent_2019-01-26T11_2019-01-27T11
