time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548571687756000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44692567920,426x240-26,16282,0.934057,14,0,11302,11888,225738,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548571687796000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44692748100,1280x720-26,172473,0.968515,37,0,10292,13386,1306269,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,startup,2.002,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571687860000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44692928280,1920x1080-22,718555,0.977997,125,0,9584,15043,5365802,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,2,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571687985000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44693108460,1920x1080-22,479043,0.980686,355,0,9584,26053,8420574,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,2,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571688071000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44693288640,1920x1080-22,985455,0.980555,355,0,9584,45824,8693362,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,2,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571688212000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44693468820,1920x1080-22,863378,0.983576,204,0,9584,53563,7099940,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,7.79,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571688340000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44693649000,1920x1080-22,643408,0.98827,204,0,9584,33040,7440731,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,7.79,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571688438000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44693829180,1920x1080-22,718157,0.986318,180,0,9584,27471,8774772,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,11.544,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571689097000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44694009360,1920x1080-22,1054804,0.981696,180,0,9584,25592,7944778,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.796,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571691101000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44694189540,1920x1080-22,1162213,0.98192,156,0,9584,26161,8457826,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.798,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571693097000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44694369720,1280x720-20,869555,0.976613,168,0,9584,22173,8665177,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.802,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571695102000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44694549900,1920x1080-24,821200,0.974227,150,0,9584,24960,8773788,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.803,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571697100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44694730080,1280x720-20,998726,0.981022,136,0,8158,19737,9314935,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.804,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571699104000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44694910260,1280x720-20,204060,0.985146,146,0,8158,19901,9008422,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.804,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571701100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44695090440,1280x720-20,263828,0.981655,146,0,8158,33134,3587374,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.806,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571703100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44695270620,1280x720-20,227443,0.97898,164,0,8158,17368,12253570,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.809,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571705096000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44695450800,1280x720-20,284430,0.978572,164,0,7376,15170,7587772,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.813,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571707100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44695630980,1280x720-20,265558,0.976353,164,0,7376,23997,8132245,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.814,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571709099000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44695811160,1920x1080-22,979872,0.990541,164,0,7376,31139,5847185,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.818,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571711100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44695991340,1920x1080-22,426961,0.987928,116,0,7376,25569,9443111,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.82,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571713098000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44696171520,1920x1080-22,716389,0.983885,130,0,7376,18603,6049203,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.822,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571715097000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44696351700,1920x1080-22,439826,0.985601,162,0,7376,15662,7620611,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.824,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571717098000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44696531880,1920x1080-22,725060,0.983743,162,0,7376,32982,5158328,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.823,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571719100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44696712060,1920x1080-22,1006947,0.981487,162,0,7376,24256,6866229,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.828,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571721100000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44696892240,1920x1080-22,1043880,0.979527,150,0,7376,18368,9176002,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.828,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548571723096000000,XMjdYhBfQrTaqaoFfNEaai1sPMRmJd2VN0WjwUu3SYM=,0,283,cbs,44697072420,1920x1080-22,803798,0.976606,126,0,7376,17464,8117291,video_sent_2019-01-26T11_2019-01-27T11,0,283,cbs,timer,14.832,0.113,video_sent_2019-01-26T11_2019-01-27T11
1548572317648000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44749865160,1280x720-26,202419,0.991704,14,0,49462,57710,53599,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548572317937000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44750045340,1280x720-26,236081,0.990678,132,1,45246,48605,1378581,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11
1548572318084000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44750225520,1280x720-22,322954,0.987623,203,0,44495,63245,2617534,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,2.002,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572318198000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44750405700,1280x720-22,117938,0.997689,357,0,44495,50965,5158533,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,2.002,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572318313000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44750585880,1280x720-20,671165,0.988535,439,28,44495,51649,1898640,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,2.002,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572318428000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44750766060,1280x720-20,1399989,0.974941,623,0,44495,64393,11186536,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,7.838,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572318589000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44750946240,1280x720-20,1300335,0.976145,1427,1,44495,72941,13652693,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,9.581,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572318777000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44751126420,1280x720-20,862119,0.981694,1489,0,44495,140965,8944547,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,9.581,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572319360000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44751306600,1280x720-20,859695,0.980643,1489,0,44495,91369,13923901,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,14.807,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572321181000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44751486780,1280x720-20,1221483,0.978619,992,0,44495,60951,13219476,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,14.989,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572323263000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44751666960,1280x720-20,1236686,0.976767,1000,0,44495,56017,14235610,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,14.909,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572325346000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44751847140,1280x720-20,1134207,0.973862,914,0,44495,56652,11872929,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,14.853,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572327421000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44752027320,1280x720-20,1439973,0.974268,914,0,44495,62882,10592070,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,14.752,0.399,video_sent_2019-01-26T11_2019-01-27T11
1548572329243000000,wGgiCwP0oYBOtX8t/Q1V0JMaXAyU/Fal8Q7p/KlNsPE=,0,283,fox,44752207500,1280x720-20,1366016,0.974761,976,0,44495,57679,1036216,video_sent_2019-01-26T11_2019-01-27T11,0,283,fox,timer,14.957,0.399,video_sent_2019-01-26T11_2019-01-27T11
