time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548552787867000000,BabIEkzH94Nn8xZXdfDL0Xx2+Q4Q48p/EFFesNlvIWA=,42996173220,854x480-26,137759,0.947333,10,0,13298,19814,200041,11,253,abc,startup,13.015,0.018,video_sent_2019-01-26T11_2019-01-27T11,11,253,abc,startup,13.015,0.018,video_sent_2019-01-26T11_2019-01-27T11,11,253,abc,42996173220,854x480-26,137759,0.947333,10,0,13298,19814,200041,video_sent_2019-01-26T11_2019-01-27T11
1548552787901000000,QlFt5Mb2B+CQBvIjVPYTC0H94KAKcSSiDDYwd0Z2sHc=,42993290340,854x480-26,56969,0.968921,10,0,27095,30494,106181,6,253,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,6,253,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,6,253,nbc,42993290340,854x480-26,56969,0.968921,10,0,27095,30494,106181,video_sent_2019-01-26T11_2019-01-27T11
1548552787907000000,0FWBnkR6ClBRXGEZYDpHQ54JMC9j7UDiwm3Fl3HIPZw=,42992389440,854x480-26,95690,0.94923,10,0,21990,25581,125511,8,253,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,8,253,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,8,253,cbs,42992389440,854x480-26,95690,0.94923,10,0,21990,25581,125511,video_sent_2019-01-26T11_2019-01-27T11
1548552787914000000,Tk1t8IsNMRbAsyfOdHJWkoLWG8hbfGxL+nFxB64Hvos=,42990948000,640x360-24,68430,0.965163,10,0,11309,12373,258201,3,253,cbs,startup,14.326,0.005,video_sent_2019-01-26T11_2019-01-27T11,3,253,cbs,startup,14.326,0.005,video_sent_2019-01-26T11_2019-01-27T11,3,253,cbs,42990948000,640x360-24,68430,0.965163,10,0,11309,12373,258201,video_sent_2019-01-26T11_2019-01-27T11
1548552787914000000,jdi1jyPNHvWwEDDu1VGtaPGMCvchhxlsQuYQ4C0TxsQ=,42996173220,854x480-26,137759,0.947333,10,0,15974,19452,170391,7,253,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,253,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,7,253,abc,42996173220,854x480-26,137759,0.947333,10,0,15974,19452,170391,video_sent_2019-01-26T11_2019-01-27T11
1548552787928000000,yUJF4snXZB05T8BrX8bpFcVkSNQPx1pAiJy5mKU0tnA=,42995452500,426x240-26,113097,0.87203,10,0,25353,40763,115173,2,253,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,2,253,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,2,253,abc,42995452500,426x240-26,113097,0.87203,10,0,25353,40763,115173,video_sent_2019-01-26T11_2019-01-27T11
1548552787971000000,fX85Hw9Yj7xdDgI56K7QWEsOCOFCCLvrC72qrsvZpyM=,42996173220,426x240-26,51658,0.900329,10,0,89534,90857,32147,2,253,abc,startup,12.996,0.012,video_sent_2019-01-26T11_2019-01-27T11,2,253,abc,startup,12.996,0.012,video_sent_2019-01-26T11_2019-01-27T11,2,253,abc,42996173220,426x240-26,51658,0.900329,10,0,89534,90857,32147,video_sent_2019-01-26T11_2019-01-27T11
1548552788003000000,uH215fJLEmFpdd6YPCjLEFP5h1LAgeMs3g6sAWxlUeI=,42992929980,426x240-26,20024,0.956952,10,0,49290,52575,58709,9,253,pbs,startup,13.658,0.01,video_sent_2019-01-26T11_2019-01-27T11,9,253,pbs,startup,13.658,0.01,video_sent_2019-01-26T11_2019-01-27T11,9,253,pbs,42992929980,426x240-26,20024,0.956952,10,0,49290,52575,58709,video_sent_2019-01-26T11_2019-01-27T11
1548552788004000000,ldYEAi7lWvkrMg23/05ve2NzjYe95uLMbZ1ttGxMGYQ=,42993290340,426x240-26,23461,0.944882,10,0,67445,68472,43294,15,253,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,15,253,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,15,253,nbc,42993290340,426x240-26,23461,0.944882,10,0,67445,68472,43294,video_sent_2019-01-26T11_2019-01-27T11
1548552788026000000,u6oPTyb9copR7Buqvetl8/KNXHUX+PSPQrixfmIdqhk=,42992749800,426x240-26,17700,0.956511,10,0,76238,87351,38301,6,253,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,6,253,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,6,253,pbs,42992749800,426x240-26,17700,0.956511,10,0,76238,87351,38301,video_sent_2019-01-26T11_2019-01-27T11
1548552788030000000,0FWBnkR6ClBRXGEZYDpHQ54JMC9j7UDiwm3Fl3HIPZw=,42992569620,1280x720-26,96210,0.969387,59,0,21693,28024,1777319,8,253,cbs,timer,12.006,0.142,video_sent_2019-01-26T11_2019-01-27T11,8,253,cbs,timer,12.006,0.142,video_sent_2019-01-26T11_2019-01-27T11,8,253,cbs,42992569620,1280x720-26,96210,0.969387,59,0,21693,28024,1777319,video_sent_2019-01-26T11_2019-01-27T11
