time (ns GMT),session_id,index_x,expt_id_x,channel_x,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,source_dataset_x,index_y,expt_id_y,channel_y,event,buffer,cum_rebuf,source_dataset_y
1548500401993000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38280322080,1280x720-20,269778,0.986832,846,0,53162,70263,10908953,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,13.752,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500402957000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38280502260,1280x720-20,322657,0.986481,846,0,53162,72590,10908953,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.766,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500405033000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38280682440,1280x720-20,209792,0.985152,900,0,53162,70492,10908953,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.741,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500406994000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38280862620,1280x720-20,490962,0.983474,900,0,53162,70081,10908953,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.714,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500409065000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38281042800,1280x720-20,819421,0.979354,900,0,53162,69959,10908953,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.7,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500411095000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38281222980,1280x720-20,448318,0.983292,870,0,53162,69244,10797154,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.7,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500413107000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38281403160,1280x720-20,195146,0.985588,870,0,53162,73050,10797154,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.7,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500416122000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38281583340,1280x720-20,251885,0.986191,870,0,53162,72566,10797154,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.7,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500417083000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38281763520,1280x720-20,308023,0.986214,870,0,53162,73573,10797154,video_sent_2019-01-26T11_2019-01-27T11,0,237,abc,timer,14.7,0.232,video_sent_2019-01-26T11_2019-01-27T11
1548500419149000000,j1E2fJfiOe5TU3Fj3lC1cgA4CsKjg2NJYBcxdVcdJfk=,0,237,abc,38281943700,1280x720-26,67501,0.996018,870,0,53162,72808,10797154,video_sent_2019-01-26T11_2019-01-27T11,,,,,,,
