time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548571682405000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44691847200,426x240-26,26264,0.930875,10,0,8524,9688,244326,0,288,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44691847200,426x240-26,26264,0.930875,10,0,8524,9688,244326,video_sent_2019-01-26T11_2019-01-27T11
1548571682449000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44692027380,1920x1080-22,587985,0.982148,40,0,7128,13104,2159403,0,288,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44692027380,1920x1080-22,587985,0.982148,40,0,7128,13104,2159403,video_sent_2019-01-26T11_2019-01-27T11
1548571682561000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44692207560,1920x1080-22,1010221,0.982119,180,15,7128,16716,156439,0,288,cbs,startup,2,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,startup,2,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44692207560,1920x1080-22,1010221,0.982119,180,15,7128,16716,156439,video_sent_2019-01-26T11_2019-01-27T11
1548571682697000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44692387740,1920x1080-22,949598,0.982113,134,0,7128,22063,7970413,0,288,cbs,timer,3.959,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,timer,3.959,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44692387740,1920x1080-22,949598,0.982113,134,0,7128,22063,7970413,video_sent_2019-01-26T11_2019-01-27T11
1548571682855000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44692567920,1920x1080-22,494329,0.976411,138,0,7128,25131,7803017,0,288,cbs,timer,5.711,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,timer,5.711,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44692567920,1920x1080-22,494329,0.976411,138,0,7128,25131,7803017,video_sent_2019-01-26T11_2019-01-27T11
1548571683055000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44692928280,1920x1080-22,718555,0.977997,142,0,7128,40928,4453873,0,288,cbs,timer,5.711,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,timer,5.711,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44692928280,1920x1080-22,718555,0.977997,142,0,7128,40928,4453873,video_sent_2019-01-26T11_2019-01-27T11
1548571683205000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44693108460,1920x1080-22,479043,0.980686,145,0,7128,32792,4489614,0,288,cbs,timer,11.467,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,timer,11.467,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44693108460,1920x1080-22,479043,0.980686,145,0,7128,32792,4489614,video_sent_2019-01-26T11_2019-01-27T11
1548571683545000000,u6oPTyb9copR7Buqvetl8/KNXHUX+PSPQrixfmIdqhk=,44690045400,426x240-26,31667,0.966506,10,0,75176,81212,38767,14,288,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,14,288,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,14,288,pbs,44690045400,426x240-26,31667,0.966506,10,0,75176,81212,38767,video_sent_2019-01-26T11_2019-01-27T11
1548571683582000000,LvSUSSlSXZhJwYW1te9goDGkOpSSz0gdpYThymUD6do=,44693288640,1920x1080-22,985455,0.980555,147,0,7128,25494,7663337,0,288,cbs,timer,14.969,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,timer,14.969,0.079,video_sent_2019-01-26T11_2019-01-27T11,0,288,cbs,44693288640,1920x1080-22,985455,0.980555,147,0,7128,25494,7663337,video_sent_2019-01-26T11_2019-01-27T11
1548571683705000000,u6oPTyb9copR7Buqvetl8/KNXHUX+PSPQrixfmIdqhk=,44690225580,426x240-26,64499,0.970145,32,0,74010,77405,300794,14,288,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,14,288,pbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,14,288,pbs,44690225580,426x240-26,64499,0.970145,32,0,74010,77405,300794,video_sent_2019-01-26T11_2019-01-27T11
